,x
0,50.17338946008368
1,49.676623227805614
2,49.18477547307488
3,48.69779749809393
4,48.21564108722172
5,47.73825850219972
6,47.26560247742546
7,46.797626215272736
8,46.33428338145814
9,45.87552810045362
10,45.421314950944165
11,44.971598961330876
12,44.52633560527808
13,44.08548079730504
14,43.648990888420826
15,43.21682266180281
16,42.78893332851762
17,42.36528052328479
18,41.94582230028196
19,41.53051712899204
20,41.119323890091124
21,40.71220187137736
22,40.30911076373996
23,39.91001065716828
24,39.51486203680028
25,39.123625779010176
26,38.73626314753482
27,38.35273578963845
28,37.97300573231529
29,37.597035378529995
30,37.22478750349504
31,36.856225250985204
32,36.49131212968831
33,36.130012009592384
34,35.77228911840831
35,35.41810803802802
36,35.06743370101785
37,34.720231387146384
38,34.37646671994692
39,34.036105663313776
40,33.69911451813246
41,33.36545991894303
42,33.03510883063666
43,32.70802854518482
44,32.38418667840081
45,32.063551166733475
46,31.74609026409255
47,31.43177253870549
48,31.12056687000544
49,30.81244244554994
50,30.50736875797024
51,30.205315601950726
52,29.906253071238343
53,29.61015155568153
54,29.316981738298548
55,29.0267145923748
56,28.73932137858891
57,28.45477364216724
58,28.173043210066577
59,27.894102188184725
60,27.61792295859874
61,27.34447817683043
62,27.07374076913904
63,26.80568392984064
64,26.540281118654097
65,26.27750605807336
66,26.017332730765702
67,25.759735376995742
68,25.504688492074997
69,25.252166823836628
70,25.002145370135278
71,24.75459937637156
72,24.509504333041146
73,24.266835973308066
74,24.026570270602043
75,23.788683436239648
76,23.55315191706896
77,23.31995239313758
78,23.089061775383747
79,22.860457203350244
80,22.63411604292104
81,22.41001588408023
82,22.188134538693298
83,21.968450038310195
84,21.750940631990296
85,21.535584784148806
86,21.322361172424564
87,21.111248685568878
88,20.902226421355323
89,20.695273684510216
90,20.49036998466358
91,20.28749503432038
92,20.086628746851854
93,19.887751234506787
94,19.69084280644236
95,19.495883966774617
96,19.302855412648128
97,19.11173803232489
98,18.922512903291967
99,18.73516129038809
100,18.549664643948603
101,18.366004597968914
102,18.18416296828605
103,18.004121750778268
104,17.825863119582444
105,17.64936942532915
106,17.4746231933952
107,17.301607122173465
108,17.130304081359867
109,16.960697110257293
110,16.792769416096327
111,16.6265043723726
112,16.461885517200596
113,16.29889655168376
114,16.13752133830075
115,15.977743899307677
116,15.819548415156111
117,15.662919222926845
118,15.507840814779053
119,15.354297836414906
120,15.20227508555931
121,15.051757510454765
122,14.902730208371052
123,14.755178424129756
124,14.609087548643325
125,14.464443117468633
126,14.321230809374889
127,14.179436444925631
128,14.03904598507488
129,13.90004552977711
130,13.762421316610999
131,13.626159719416835
132,13.491247246947358
